Date,Year,Month,Month_Name,Year_Month,Quarter,Year_Quarter,Recommended_Stocks,Recent_Alpha,Alpha_Volatility,Strategy,Stability_Level,Alpha_Trend,Volatility_Rank,Alpha_Z_Score,Alpha_Above_Threshold,Volatility_Below_Threshold,Is_High_Alpha,Is_Low_Volatility,Alpha_Trend_Positive,Z_Score_Extreme
2022-07-01,2022,7,July,2022-07,3,2022Q3,24,0.005911996290494634,0.002162928257999349,Aggressive,High_Stability,-0.0006876785449684569,0.6694734033097356,-0.5851130924607395,False,True,False,False,False,False
2022-08-01,2022,8,August,2022-08,3,2022Q3,24,0.005707153208248383,0.0022782611029023643,Aggressive,High_Stability,-0.0010448962316058827,0.651848883138336,-0.6164160663712211,False,True,False,False,False,False
2022-09-01,2022,9,September,2022-09,3,2022Q3,25,0.004800455490792233,0.0021359595826698965,Balanced,High_Stability,-0.0009459263572546111,0.6735946054073649,-0.7549725393699213,False,True,False,False,False,False
2022-10-01,2022,10,October,2022-10,4,2022Q4,25,0.00431914755900535,0.0018861009881248187,Balanced,High_Stability,-0.0006476479326819745,0.7117765980848225,-0.8285233250074892,False,True,False,False,False,False
2022-11-01,2022,11,November,2022-11,4,2022Q4,25,0.0043097695988807,0.0018687393912861592,Balanced,High_Stability,0.0003454103199255196,0.7144297001907141,-0.8299564124122304,False,True,False,True,True,False
2022-12-01,2022,12,December,2022-12,4,2022Q4,22,0.007078257227860966,0.007642635965104191,Balanced,High_Stability,0.0031792266197754153,0.0,-0.4068916202252015,False,True,False,False,True,False
2023-01-01,2023,1,January,2023-01,1,2023Q1,22,0.0099455361648198,0.008556225703532013,Aggressive,High_Stability,0.003916566501945297,0.0,0.03126990699590517,False,True,False,False,True,False
2023-02-01,2023,2,February,2023-02,1,2023Q1,22,0.012509916014171833,0.008775877131631256,Aggressive,High_Stability,0.004128649030574056,0.0,0.423144090105161,True,True,False,False,True,False
2023-03-01,2023,3,March,2023-03,1,2023Q1,22,0.014980607579732347,0.007496538421457767,Aggressive,Medium_Stability,0.002924941452427494,0.0,0.800701353789634,True,True,False,False,True,False
2023-04-01,2023,4,April,2023-04,2,2023Q2,22,0.0171467497609271,0.005214619260021043,Aggressive,Medium_Stability,0.0010120057979576165,0.20313105593039082,1.1317190842435225,True,True,True,False,True,False
2023-05-01,2023,5,May,2023-05,2,2023Q2,25,0.018957137684459262,0.001887952744557158,Aggressive,High_Stability,-0.000852463464930069,0.7114936230257947,1.4083724391762136,True,True,True,False,False,False
2023-06-01,2023,6,June,2023-06,2,2023Q2,26,0.01808580783846475,0.0010967035701376687,Aggressive,High_Stability,-0.00046527093621180247,0.8324078955115415,1.2752206864418865,True,True,True,True,False,False
2023-07-01,2023,7,July,2023-07,3,2023Q3,26,0.0178092442605156,0.0009377902521332928,Aggressive,High_Stability,-0.0002982681772833201,0.856692139787553,1.2329577875917097,True,True,True,True,False,False
2023-08-01,2023,8,August,2023-08,3,2023Q3,26,0.017879974113250218,0.0010968912209660998,Aggressive,High_Stability,0.0003555672686732777,0.8323792197616834,1.2437663280147753,True,True,True,True,True,False
2023-09-01,2023,9,September,2023-09,3,2023Q3,26,0.01789070388477278,0.0010944630676506192,Aggressive,High_Stability,0.00028472373939180344,0.8327502765679551,1.2454059916751397,True,True,True,True,True,False
2023-10-01,2023,10,October,2023-10,4,2023Q4,22,0.0165655840947324,0.003823766097390917,Aggressive,High_Stability,-0.0011624055651214223,0.4156734556331204,1.042908598250685,True,True,True,False,False,False
2023-11-01,2023,11,November,2023-11,4,2023Q4,22,0.015056501558801035,0.004788189719144839,Aggressive,High_Stability,-0.001948651836444925,0.26829563286572344,0.8122990471102892,True,True,False,False,False,False
2023-12-01,2023,12,December,2023-12,4,2023Q4,22,0.013211548090723916,0.005880592097365439,Aggressive,High_Stability,-0.002851082852474784,0.10136081246461393,0.5303635790243135,True,True,False,False,False,False
2024-01-01,2024,1,January,2024-01,1,2024Q1,22,0.011420327944034985,0.00591146016244192,Aggressive,High_Stability,-0.002880113170736082,0.09664372743952865,0.2566393365218112,True,True,False,False,False,False
2024-02-01,2024,2,February,2024-02,1,2024Q1,22,0.009207651692508366,0.004353323795192219,Aggressive,High_Stability,-0.0018474959514416904,0.33474941066858865,-0.08148947024265482,False,True,False,False,False,False
2024-03-01,2024,3,March,2024-03,1,2024Q1,25,0.007962787340358383,0.001686597131896372,Aggressive,High_Stability,8.77344658276611e-07,0.7422636613435762,-0.27172267660787885,False,True,False,True,True,False
2024-04-01,2024,4,April,2024-04,2,2024Q2,26,0.00775802004606435,0.0016033517356365131,Aggressive,High_Stability,0.00019194656935807105,0.7549847571146187,-0.30301406902747,False,True,False,True,True,False
2024-05-01,2024,5,May,2024-05,2,2024Q2,22,0.006329554196500851,0.003253955730697262,Aggressive,High_Stability,-0.0006098617994513113,0.5027486882792058,-0.5213042291371786,False,True,False,False,False,False
2024-06-01,2024,6,June,2024-06,2,2024Q2,22,0.005357087273898582,0.004136227688805342,Balanced,High_Stability,-0.00156768381518702,0.36792482318325725,-0.6699111841449666,False,True,False,False,False,False
2024-07-01,2024,7,July,2024-07,3,2024Q3,22,0.00466476408044075,0.004182227017501915,Balanced,High_Stability,-0.0016466401952416367,0.3608954630979725,-0.7757081416247379,False,True,False,False,False,False
2024-08-01,2024,8,August,2024-08,3,2024Q3,22,0.004510157281402367,0.004108989718379068,Balanced,High_Stability,-0.001085561266579777,0.37208717745111153,-0.799334287763584,False,True,False,False,False,False
